"row ID","post_bugs","Ce","LCOMCK","LCOMHS","LCOMPFI","LCOMTC","NOF","WMC","line_coverage","instructions_coverage","branche_coverage","complexity_coverage","method_coverage","mutants_score","has_bugs"
"org:apache:commons:math:stat:descriptive:summary:Product",1,6,0,25,40,7,2,16,0.9166666666666666,0.9555555555555556,0.9,0.875,0.9090909090909091,0.87,"yes"
"org:apache:commons:math:stat:descriptive:summary:Sum",1,5,0,25,40,7,2,16,0.8888888888888888,0.8962962962962963,0.9,0.8125,0.8181818181818182,0.8,"yes"
"org:apache:commons:math:stat:descriptive:summary:SumOfLogs",1,5,0,13,20,0,2,12,0.896551724137931,0.9361702127659575,1.0,0.9166666666666666,0.8888888888888888,0.87,"yes"
"org:apache:commons:math:stat:descriptive:summary:SumOfSquares",1,5,0,25,40,7,2,12,0.896551724137931,0.941747572815534,1.0,0.9166666666666666,0.8888888888888888,1.0,"yes"
"org:apache:commons:math:stat:inference:ChiSquareTestImpl",1,10,0,0,0,0,1,50,0.968,0.9365269461077844,0.9024390243902439,0.8620689655172413,1.0,0.88,"yes"
"org:apache:commons:math:stat:inference:TestUtils",1,15,0,0,0,0,0,41,0.66,0.7794117647058824,1.0,0.7142857142857143,0.7142857142857143,0.58,"yes"
"org:apache:commons:math:stat:regression:AbstractMultipleLinearRegression",3,8,0,0,0,0,2,20,0.9523809523809523,0.9176029962546817,0.9230769230769231,0.88,0.9166666666666666,1.0,"yes"
"org:apache:commons:math:stat:regression:GLSMultipleLinearRegression",1,6,0,0,0,0,2,7,0.875,0.8189655172413793,0.5,0.75,0.8571428571428571,0.25,"yes"
"org:apache:commons:math:stat:regression:OLSMultipleLinearRegression",3,9,0,0,0,0,1,10,1.0,1.0,1.0,1.0,1.0,0.93,"yes"
"org:apache:commons:math:util:MathUtils",2,15,0,0,0,0,0,232,0.9954648526077098,0.9964028776978417,0.9748110831234257,0.9588014981273408,0.9846153846153847,0.92,"yes"
"org:apache:commons:math:ArgumentOutsideDomainException",0,3,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,"no"
"org:apache:commons:math:ConvergenceException",0,5,0,0,0,0,0,4,1.0,1.0,1.0,1.0,1.0,1.0,"no"
"org:apache:commons:math:DimensionMismatchException",0,3,1,100,100,100,2,3,1.0,1.0,1.0,1.0,1.0,0.86,"no"
"org:apache:commons:math:DuplicateSampleAbscissaException",0,5,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,"no"
"org:apache:commons:math:FunctionEvaluationException",0,7,0,0,0,0,1,9,1.0,1.0,1.0,1.0,1.0,1.0,"no"
"org:apache:commons:math:MathConfigurationException",0,6,0,0,0,0,0,4,1.0,1.0,1.0,1.0,1.0,1.0,"no"
"org:apache:commons:math:MathException",0,11,0,50,67,25,2,17,0.9142857142857143,0.8814814814814815,0.625,0.75,0.9166666666666666,0.95,"no"
"org:apache:commons:math:MathRuntimeException",0,32,0,50,67,25,2,29,0.42,0.4930875576036866,0.25,0.5357142857142857,0.625,0.92,"no"
"org:apache:commons:math:MaxEvaluationsExceededException",0,5,0,0,0,0,1,3,0.42857142857142855,0.56,1.0,0.3333333333333333,0.3333333333333333,0.29,"no"
"org:apache:commons:math:MaxIterationsExceededException",0,5,0,0,0,0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,"no"
"org:apache:commons:math:MessagesResources_fr",0,2,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,0.5,"no"
"org:apache:commons:math:analysis:BinaryFunction",0,13,0,0,0,0,0,8,1.0,1.0,1.0,1.0,1.0,1.0,"no"
"org:apache:commons:math:analysis:ComposableFunction",0,43,0,0,0,0,0,40,1.0,1.0,1.0,1.0,1.0,1.0,"no"
"org:apache:commons:math:analysis:interpolation:BicubicSplineFunction",0,3,0,0,0,0,1,4,0.9259259259259259,0.8406374501992032,0.5,0.3333333333333333,1.0,0.8,"no"
"org:apache:commons:math:analysis:interpolation:BicubicSplineInterpolatingFunction",0,6,0,0,0,0,3,22,0.9166666666666666,0.9576427255985267,0.8095238095238095,0.6923076923076923,1.0,0.79,"no"
